DB_ID	DisplayName	Old_Start	Old_End	New_Start	New_End
198741	p-T180,Y182-MAP kinase p38 beta [nucleoplasm]	1	-1	1	364
191799	Gemin 6 [nucleoplasm]	1	-1	1	167
198260	Phospho-Protein kinase C-epsilon [plasma membrane]	1	-1	1	737
201676	Wnt-3 [extracellular region]	1	-1	22	355
977573	Histone H2A.e [extracellular region]	1	-1	2	128
58048	GUK1 [cytosol]	1	-1	2	197
111802	thioredoxin, oxidized [nucleoplasm]	1	-1	2	105
2470338	3,4-Hyp 5-Hyl-collagen alpha-1(VIII) chain C-term fragment [extracellular region]	1	-1	28	744
2468113	Glu-Gal-Hyl-collagen alpha-1(IV) chain C-term fragment [extracellular region]	1	-1	173	1669
169856	Phospho-B-Raf [cytosol]	1	-1	2	766
194944	RasGRF2 [cytosol]	1	-1	1	1237
1236875	class I MHC B39 [early endosome membrane]	null	null	25	362
72019	CF II - PCF11 [nucleoplasm]	1	-1	1	1555
193946	MYD88 [cytosol]	null	null	1	296
206068	Phospho APC [cytosol]	1	-1	1	2843
416848	Gamma 8 subunit of VGCC [endocytic vesicle membrane]	1	-1	1	425
376249	Lis1 [cytosol]	1	-1	2	410
191839	SMN [cytosol]	1	-1	2	294
448193	EPHB1 [plasma membrane]	null	null	18	984
2470380	4-Hyp 5-Gal-Hyl-collagen alpha-1(IX) chain C-term fragment [extracellular region]	1	-1	24	921
983334	class I MHC B50 [ER to Golgi transport vesicle membrane]	null	null	25	362
210406	Gamma 6 subunit of VGCC [plasma membrane]	1	-1	1	260
2468346	4-hydroxyprolyl collagen alpha-4(IV) chain N-term fragment [extracellular region]	-1	-1	39	1690
2186688	5-Gal-Hyl-collagen alpha-1(XI) chain [endoplasmic reticulum lumen]	1	-1	512	1563
977572	Histone H2B type 12 [extracellular region]	1	-1	2	126
68553	Mcm6 [nucleoplasm]	1	-1	1	821
265448	ABCG5 [plasma membrane]	1	-1	1	651
191657	phospho-tyrosine 265 Cx43 [plasma membrane]	1	-1	2	382
113416	FCP1P protein [nucleoplasm]	1	-1	1	961
111792	ribonucleotide reductase M2B (TP53 inducible) [nucleoplasm]	1	-1	1	351
181895	Histone H2A.l [nucleoplasm]	1	-1	2	130
983348	class I MHC B27 [ER to Golgi transport vesicle membrane]	null	null	25	362
2065716	4-hydroxyprolyl collagen alpha-3(V) chain [endoplasmic reticulum lumen]	-1	-1	30	1745
2192788	3,4-Hyp 5-Gal-Hyl-collagen alpha-1(X) chain [extracellular region]	1	-1	19	680
200806	ARPC5 [cytosol]	1	-1	2	151
72001	CSTF 50 kDa subunit [nucleoplasm]	1	-1	1	431
73592	Deoxycytidylate deaminase  [cytosol]	1	-1	1	178
168496	TRAF6 -P [cytosol]	null	null	1	522
2173158	4-Hyp 5-Hyl-collagen alpha-1(XVI) chain [endoplasmic reticulum lumen]	1	-1	22	1604
2268938	5-hydroxylysyl-collagen alpha-1(XXIV) propeptide [extracellular region]	1	-1	36	1714
2473497	3,4-hydroxyprolyl-collagen alpha-1(XXIII) transmembrane region [plasma membrane]	1	-1	1	540
1236754	class I MHC B41 [early endosome membrane]	null	null	25	362
139871	Platelet-derived growth factor, B chain precursor [platelet alpha granule lumen]	1	-1	82	190
2173248	3,4-Hyp 5-Gal-Hyl-collagen alpha-1(XXVI) chain [endoplasmic reticulum lumen]	1	-1	21	441
2470622	3,4-Hyp 5-Gal-Hyl-collagen alpha-2(XI) chain N-term fragment [extracellular region]	1	-1	28	1736
211664	phospho-MNK1( Ser-27) [cytosol]	1	-1	1	465
211671	phospho-MNK1(Thr-22)  [cytosol]	1	-1	1	465
113682	ABH3 protein [nucleoplasm]	1	-1	1	286
210765	NKX6-1 [nucleoplasm]	1	-1	1	367
390458	T-complex protein 1 subunit delta (TCP-1-delta) [cytosol]	1	-1	2	539
2473475	4-Hyp 5-Hyl-collagen alpha-1(XXIII) ectodomain [extracellular region]	-1	-1	1	540
2470786	3,4-Hyp 5-Hyl-collagen alpha-1(XIV) chain C-term fragment [extracellular region]	-1	-1	29	1796
444232	Activated Ca/calmodulin dependent kinase kinase [cytosol]	1	-1	1	505
1236789	class I MHC B56 [phagocytic vesicle membrane]	null	null	25	362
2192897	3,4-Hyp 5-Gal-Hyl-collagen alpha-1(XIX) chain [extracellular region]	1	-1	24	1142
174141	Apc2 [nucleoplasm]	1	-1	1	822
381076	IRE1 [endoplasmic reticulum membrane]	1	-1	19	977
2065738	5-hydroxylysyl collagen alpha-6(IV) chain [endoplasmic reticulum lumen]	-1	-1	23	1691
2470237	4-Hyp Glu-Gal-Hyl collagen alpha-5(VI) chain C-term fragment [extracellular region]	-1	-1	19	2615
2127322	3,4-Hyp Glu-Gal-Hyl collagen alpha-5(IV) chain [extracellular region]	-1	-1	27	1685
167752	class I MHC B8 [plasma membrane]	null	null	25	362
158833	Acyl-NAT2 intermediate [cytosol]	1	-1	1	290
68943	phosphorylated Orc1 [nucleoplasm]	1	-1	1	861
156467	Protein kinase C, beta type  [plasma membrane]	1	-1	2	671
109842	p-T202,Y204-ERK1 [cytosol]	1	-1	2	379
983052	class I MHC B37 [integral to lumenal side of endoplasmic reticulum membrane]	null	null	25	362
195351	VEGFE [extracellular region]	1	-1	23	345
174376	MTR [cytosol]	1	-1	1	1265
2470640	4-Hyp 5-Hyl-collagen alpha-1(XI) chain N-term fragment [extracellular region]	1	-1	512	1563
2193021	3,4-hydroxyprolyl-collagen alpha-1(XXVII) chain [extracellular region]	1	-1	625	1621
2468220	3,4-Hyp Glu-Gal-Hyl collagen alpha-5(IV) chain N-term fragment [extracellular region]	-1	-1	27	1685
70059	pyruvate dehydrogenase complex X component (E3 binding protein) [mitochondrial matrix]	1	-1	54	501
167765	class I MHC B56 [plasma membrane]	null	null	25	362
180041	DARPP-32-S137P [cytosol]	1	-1	1	204
2470298	4-Hyp 5-Gal-Hyl collagen alpha-1(VII) chain C-term fragment [extracellular region]	-1	-1	17	2944
53489	DDB1, DNA damage binding protein 1 [nucleoplasm]	1	-1	1	1140
2173147	4-Hyp 5-Hyl-collagen alpha-1(XX) chain [endoplasmic reticulum lumen]	1	-1	23	1284
68443	DNA pol delta subunit 2 [nucleoplasm]	1	-1	1	469
1236889	class I MHC B42 [early endosome membrane]	null	null	25	362
162419	Phosphorylated PDE3B [cytosol]	1	-1	1	1112
167759	class I MHC B67 [plasma membrane]	null	null	25	362
167417	G protein alpha (T2) [plasma membrane]	1	-1	2	354
83810	hPrp8 [nucleoplasm]	1	-1	2	2335
73493	CMPK1 [cytosol]	1	-1	1	196
2152278	Collagen alpha-1(XI) chain [extracellular region]	1	-1	512	1563
390316	Plasma membrane adaptor AP-2 50 kDa protein [endosome]	1	-1	1	435
2473525	Collagen alpha-1(XXVI) ectodomain [extracellular region]	1	-1	21	441
2172239	Collagen alpha-1(VIII) chain [endoplasmic reticulum lumen]	1	-1	28	744
2192710	4-Hyp 5-Hyl-collagen alpha-1(XIII) chain [extracellular region]	1	-1	1	717
2470189	3,4-Hyp 5-Hyl collagen alpha-5(VI) chain C-term fragment [extracellular region]	-1	-1	19	2615
2192957	4-Hyp 5-Gal-Hyl-collagen alpha-1(XXV) chain [plasma membrane]	1	-1	1	654
193866	Phospho-IkB kinase [cytosol]	null	null	1	1332
70292	oligo((1,4)-alpha-glucosyl) glycogenin-1 [cytosol]	1	-1	2	350
201592	MITF [nucleoplasm]	1	-1	1	526
55453	Guanine nucleotide-binding protein G(q), alpha subunit [plasma membrane]	1	-1	1	359
54427	ERCC1, DNA excision repair protein [nucleoplasm]	1	-1	1	297
74330	Opsin-2 [plasma membrane]	1	-1	1	348
379641	IARS [cytosol]	1	-1	1	1262
72351	40S small ribosomal protein 21 [cytosol]	1	-1	1	83
2470393	4-Hyp 5-Gal-Hyl collagen alpha-2(IX) chain C-term fragment [extracellular region]	1	-1	24	689
163179	MNK1 protein [cytosol]	1	-1	1	465
379267	NEDD1 [cytosol]	1	-1	1	660
2470905	Collagen alpha-1(XVIII) chain N-term fragment [extracellular region]	1	-1	24	1754
392774	unfolded alpha tubulin 2.1 [cytosol]	1	-1	1	450
391304	hAgo/FBW7 [cytosol]	1	-1	1	707
352060	SLC6A15 [plasma membrane]	1	-1	1	730
2470729	4-Hyp 5-Hyl-collagen alpha-1(XII) chain C-term fragment [extracellular region]	-1	-1	24	3063
195036	Ect2 [cytosol]	1	-1	1	914
2028569	MOB1B [cytosol]	1	-1	2	216
188717	S112/S121-phospho Sprouty 2 [cytosol]	1	-1	1	315
65748	TFIIS protein [nucleoplasm]	1	-1	1	301
2470435	Collagen alpha-1(IX) chain N-term fragment [extracellular region]	1	-1	24	921
191691	alpha K tubulin -1 [cytosol]	1	-1	1	451
2065763	Collagen alpha-1(VII) chain [endoplasmic reticulum lumen]	-1	-1	17	2944
72091	MT-A70 [nucleoplasm]	1	-1	1	580
2470197	4-hydroxyprolyl collagen alpha-5(VI) chain C-term fragment [extracellular region]	-1	-1	19	2615
165727	Phosphorylated 40S small ribosomal protein 6 [cytosol]	1	-1	1	249
2127387	4-Hyp Glu-Gal-Hyl collagen alpha-3(IV) chain [extracellular region]	-1	-1	29	1670
913730	MAVS [mitochondrial outer membrane]	1	-1	1	540
351197	AP-1 sigma 1A [cytoplasmic vesicle membrane]	null	null	1	158
2173114	Glu-Gal-Hyl-collagen alpha-1(IX) chain [endoplasmic reticulum lumen]	1	-1	24	921
72400	60S acidic ribosomal protein P2 [cytosol]	1	-1	1	115
181519	STX4 [plasma membrane]	null	null	1	297
109432	5'-nucleotidase, cytosolic III [cytosol]	1	-1	1	336
176057	Microsomal glutathione S-transferase 5 [endoplasmic reticulum membrane]	1	-1	2	218
448567	IL33 [extracellular region]	null	270	112	270
2470442	Collagen alpha-1(IX) chain C-term fragment [extracellular region]	1	-1	24	921
392766	unfolded alpha tubulin 2.2 [cytosol]	1	-1	1	450
2468218	Glu-Gal-Hyl collagen alpha-5(IV) chain N-term fragment [extracellular region]	-1	-1	27	1685
71896	Sm Protein B [nucleoplasm]	1	-1	1	240
71733	Acetyl-coenzyme A synthetase, cytoplasmic  [cytosol]	1	-1	1	701
2173048	5-hydroxylysyl-collagen alpha-1(XIV) chain [endoplasmic reticulum lumen]	1	-1	29	1796
60565	NADH-ubiquinone oxidoreductase chain 5 (EC 1.6.5.3) [mitochondrial inner membrane]	1	-1	1	603
376252	Clasp2 [cytosol]	1	-1	1	1294
206167	SMAD1 [nucleoplasm]	1	-1	1	465
2473553	3,4-Hyp 5-Gal-Hyl-collagen alpha-1(XXV) ectodomain [extracellular region]	1	-1	1	654
400441	Free fatty acid receptor 1 [plasma membrane]	1	-1	1	300
418323	RUVBL1 [nucleoplasm]	1	-1	1	456
174242	Apc7 [cytosol]	1	-1	1	599
166866	MEKK1 [cytosol]	null	null	2	1512
212404	TAF9B [nucleoplasm]	1	-1	1	251
203820	DICER1 [cytosol]	1	-1	1	1922
2470779	4-hydroxyprolyl collagen alpha-1(XIV) chain C-term fragment [extracellular region]	-1	-1	29	1796
167766	class I MHC B49 [plasma membrane]	null	null	25	362
380451	CDK11/CDC2L1 [cytosol]	1	-1	1	795
75236	phospho-MDC1/NFBD1 [nucleoplasm]	1	-1	1	2089
162727	GPAA1 [endoplasmic reticulum membrane]	1	-1	2	621
2184301	Glu-Gal-Hyl-collagen alpha-1(XXIV) -N propeptide [endoplasmic reticulum lumen]	1	-1	36	1714
427507	Histone H3.1 with acetylated lysine-9 and lysine-14 [nucleoplasm]	1	-1	2	136
2127496	4-Hyp 5-Hyl collagen alpha-1(VII) chain [extracellular region]	-1	-1	17	2944
71966	SAP 61 (Splicing factor 3A subunit 3) [nucleoplasm]	1	-1	1	501
2470708	4-hydroxyprolyl-collagen alpha-1(XII) chain N-term fragment [extracellular region]	1	-1	24	3063
451318	Edited GRIK2 (GluR6) [plasma membrane]	1	-1	32	908
391296	FBX6 [cytosol]	1	-1	1	293
2473465	Glu-Gal-Hyl-collagen alpha-1(XXIII) transmembrane region [plasma membrane]	1	-1	1	540
390360	ROBO3 [plasma membrane]	1	-1	21	1386
2173199	4-Hyp Glu-Gal-Hyl-collagen alpha-1(XIII) chain [endoplasmic reticulum lumen]	1	-1	1	717
354384	CRKL [cytosol]	1	-1	1	303
2127517	5-Gal-Hyl collagen alpha-1(VII) chain [extracellular region]	-1	-1	17	2944
265002	SRP Receptor subunit beta [endoplasmic reticulum membrane]	1	-1	1	271
71152	tyrosine aminotransferase [cytosol]	1	-1	1	454
2470407	Collagen alpha-2(IX) chain N-term fragment [extracellular region]	1	-1	24	689
2470104	5-Gal-Hyl-collagen alpha-6(VI) chain C-term fragment [extracellular region]	-1	-1	20	2263
804968	Estradiol 17-beta-dehydrogenase 1 [cytosol]	1	-1	2	328
192675	Importin beta-3 [nucleoplasm]	null	null	2	1097
391978	Guanine nucleotide-binding protein, alpha-12 subunit [cytosol]	1	-1	2	381
191702	beta tubulin 2C [cytosol]	1	-1	1	445
2470083	3,4-Hyp Glu-Gal-Hyl collagen alpha-5(VI) chain C-term fragment [extracellular region]	-1	-1	19	2615
508562	Alpha-aminoadipic semialdehyde dehydrogenase [mitochondrial matrix]	1	-1	27	539
68563	Cdc45 [nucleoplasm]	1	-1	1	566
2192971	Collagen alpha-1(XXVI) chain [plasma membrane]	1	-1	21	441
380297	Centrin-3 [cytosol]	1	-1	1	167
2186709	Collagen alpha-1(XXVII) chain [endoplasmic reticulum lumen]	1	-1	625	1621
72488	60S ribosomal protein L7a [cytosol]	1	-1	2	266
167740	class I MHC B55 [plasma membrane]	null	null	25	362
2186706	4-Hyp 5-Hyl-collagen alpha-1(XXVII) chain [endoplasmic reticulum lumen]	1	-1	625	1621
164376	G-protein gamma 3 (GBG3) subunit [plasma membrane]	1	-1	1	72
377736	ICIS [cytosol]	null	null	1	175
163175	Phospho-MNK1 [cytosol]	1	-1	1	465
379555	MARS2 [mitochondrial matrix]	1	-1	30	593
444568	Humanin [extracellular region]	null	null	1	714
71903	Sm protein D3 [nucleoplasm]	1	-1	1	126
437181	Protein kinase C, zeta type, phosphorylated (Thr-410)  [cytosol]	1	-1	1	592
2184311	3,4-Hyp Glu-Gal-Hyl-collagen alpha-1(XXIV) -N propeptide [endoplasmic reticulum lumen]	1	-1	36	1714
2471863	5-Gal-Hyl-collagen alpha-1(XVII) transmembrane region [plasma membrane]	1	-1	1	1497
71885	U5-200kDa helicase [nucleoplasm]	1	-1	1	2136
921129	RGS19 [plasma membrane]	1	-1	1	217
163531	CGI-58 [cytosol]	1	-1	1	349
167628	CD28 [cytosol]	null	null	19	220
1498746	GDE1	1	-1	1	331
66248	FAS Receptor [plasma membrane]	1	-1	26	335
60613	NADH-ubiquinone oxidoreductase chain 4L (EC 1.6.5.3) [mitochondrial inner membrane]	1	-1	1	98
66524	Thrombospondin 4 precursor [extracellular region]	1	-1	27	961
210493	Beta 1 subunit of VGCC [cytosol]	1	-1	1	598
72365	40S small ribosomal protein 28 [cytosol]	1	-1	1	69
182950	p-Y55-SPRY2 [cytosol]	1	-1	1	315
202087	Phospho-AKT2 (T309, S474) [nucleoplasm]	1	-1	1	481
190054	FRS2 [endosome]	1	-1	2	508
182563	p27 [nucleoplasm]	1	-1	1	198
983333	class I MHC B73 [ER to Golgi transport vesicle membrane]	null	null	25	363
170805	glucokinase regulatory protein [nucleoplasm]	1	-1	2	625
2173185	4-Hyp 5-Gal-Hyl-collagen alpha-1(XXVII) propeptide [endoplasmic reticulum lumen]	1	-1	625	1621
379667	FARSA [cytosol]	1	-1	2	508
58200	PRKCD [cytosol]	1	-1	1	676
73515	Deoxycytidine kinase  [cytosol]	1	-1	1	260
164946	PAK2 [plasma membrane]	1	-1	1	524
1168581	ub-K21,22-p-S32,36-IKBA [cytosol]	1	-1	1	317
174142	Apc10/Doc1 [cytosol]	1	-1	1	185
390448	T-complex protein 1 subunit alpha (TCP-1-alpha) [cytosol]	1	-1	1	556
71941	hnRNP H [nucleoplasm]	1	-1	1	449
2468310	5-hydroxylysyl collagen alpha-4(IV) chain N-term fragment [extracellular region]	-1	-1	39	1690
983106	class I MHC B51 [integral to lumenal side of endoplasmic reticulum membrane]	null	null	25	362
2161824	Ac-PTGS2 [endoplasmic reticulum membrane]	1	-1	18	604
2470095	3,4-Hyp 5-Hyl collagen alpha-1(V) chain N-term fragment [extracellular region]	-1	-1	38	1605
2127362	4-Hyp 5-Gal-Hyl collagen alpha-3(IV) chain [extracellular region]	-1	-1	29	1670
432872	Palladin [cytosol]	null	null	1	1383
2192930	3,4-Hyp 5-Gal-Hyl-collagen alpha-1(IX) chain [extracellular region]	1	-1	24	921
2186671	3,4-Hyp 5-Gal-Hyl-collagen alpha-1(XI) chain [endoplasmic reticulum lumen]	1	-1	512	1563
180500	PAG1 [plasma membrane]	1	-1	1	432
2470096	4-Hyp 5-Hyl collagen alpha-5(VI) chain C-term fragment [extracellular region]	-1	-1	19	2615
913472	RAPGEF1 [cytosol]	1	-1	1	1077
2173192	4-Hyp Glu-Gal-Hyl-collagen alpha-1(XVIII) chain [endoplasmic reticulum lumen]	1	-1	24	1754
939782	RGS10 [plasma membrane]	1	-1	1	173
2065768	Collagen alpha-3(V) chain [endoplasmic reticulum lumen]	-1	-1	30	1745
68786	26S proteasome non-ATPase regulatory subunit 1 [cytosol]	1	-1	1	953
2192895	Glu-Gal-Hyl-collagen alpha-1(XIX) chain [extracellular region]	1	-1	24	1142
167768	class I MHC B78 [plasma membrane]	null	null	25	362
379634	YARS2 [mitochondrial matrix]	1	-1	17	477
70468	Glucose-6-phosphate isomerase  [cytosol]	1	-1	2	558
2193001	3,4-Hyp Glu-Gal-Hyl-collagen alpha-1(XXVI) chain [extracellular region]	null	null	21	441
2470789	4-Hyp 5-Hyl-collagen alpha-1(XIV) chain C-term fragment [extracellular region]	-1	-1	29	1796
74540	Phospho-opsin [plasma membrane]	1	-1	1	348
191841	Gemin 4 [nucleoplasm]	1	-1	1	1058
201702	Wnt-1 [extracellular region]	1	-1	28	370
983356	class I MHC B81 [ER to Golgi transport vesicle membrane]	null	null	25	362
201594	Alpha-N-acetylglucosaminidase precursor [cytosol]	1	-1	24	743
913596	Platelet glycoprotein V ectodomain [extracellular region]	1	-1	17	560
70329	KHK [cytosol]	1	-1	1	298
2173065	5-Gal-Hyl-collagen alpha-1(XVI) chain [endoplasmic reticulum lumen]	1	-1	22	1604
201678	DVL3 [cytosol]	1	-1	1	716
2468131	3,4-hydroxyprolyl collagen alpha-1(IV) chain C-term fragment [extracellular region]	1	-1	173	1669
375416	SLC36A2 [plasma membrane]	1	-1	1	483
69683	p53 Ser-20 phosphorylated  [nucleoplasm]	1	-1	1	393
2468233	3,4-Hyp 5-Hyl collagen alpha-6(IV) chain C-term fragment [extracellular region]	-1	-1	23	1691
2186704	4-Hyp 5-Gal-Hyl-collagen alpha-1(XXVII) chain [endoplasmic reticulum lumen]	1	-1	625	1621
2468332	4-hydroxyprolyl collagen alpha-4(IV) chain C-term fragment [extracellular region]	-1	-1	39	1690
2192879	4-Hyp 5-Hyl-collagen alpha-1(XI) chain [extracellular region]	1	-1	512	1563
72387	40S small ribosomal protein 9 [cytosol]	1	-1	2	194
72578	eIF4E [cytosol]	1	-1	2	217
71939	hnRNP G [nucleoplasm]	1	-1	1	391
977554	Histone H2A.g [extracellular region]	1	-1	2	130
418189	NRXN1 [plasma membrane]	null	null	31	1477
210409	CaV2.2 N type VGCC [plasma membrane]	1	-1	1	2339
69490	phospho-MDM2 [nucleoplasm]	1	-1	1	491
964790	Neuromedin-U receptor 1 [plasma membrane]	1	-1	1	426
159204	Glutathione S-transferase alpha 4 [cytosol]	1	-1	1	222
164299	Cytochrome c oxidase polypeptide VIb [mitochondrial inner membrane]	1	-1	2	86
70356	GALT [cytosol]	1	-1	1	379
2065632	3,4-hydroxyprolyl collagen alpha-3(IV) chain [endoplasmic reticulum lumen]	-1	-1	29	1670
2470680	3,4-Hyp Glu-Gal-Hyl-collagen alpha-1(XII) chain N-term fragment [extracellular region]	1	-1	24	3063
2130344	HLA class II histocompatibility antigen, DRB1-15 beta chain [ER to Golgi transport vesicle membrane]	1	null	30	266
162462	RBM8A/Y14 [cytosol]	1	-1	2	174
983384	class I MHC B18 [ER to Golgi transport vesicle membrane]	null	null	25	362
379649	EPRS [cytosol]	1	-1	1	1512
68780	Probable 26S protease regulatory subunit 8 [cytosol]	1	-1	2	406
72058	SR 11/ p54 [nucleoplasm]	1	-1	1	484
2470900	3,4-Hyp 5-Hyl-collagen alpha-1(XVIII) endostatin-like fragment [extracellular region]	1	-1	24	1754
390430	FAR2 [peroxisomal matrix]	1	-1	1	515
60617	NADH-ubiquinone oxidoreductase MLRQ subunit   [mitochondrial inner membrane]	1	-1	1	81
201705	PYGO1 [nucleoplasm]	1	-1	1	419
74386	Myt1 kinase [nucleoplasm]	1	-1	1	499
113554	geminin [nucleoplasm]	1	-1	1	209
111902	phospho-CaMK IV [nucleoplasm]	1	-1	1	473
182578	p16-INK4a [cytosol]	1	-1	1	156
