Pathway id	Species	Pathway name
5869866	Bos taurus	A third proteolytic cleavage releases NICD
5931574	Canis familiaris	A third proteolytic cleavage releases NICD
5991463	Mus musculus	A third proteolytic cleavage releases NICD
6051974	Rattus norvegicus	A third proteolytic cleavage releases NICD
6096315	Gallus gallus	A third proteolytic cleavage releases NICD
6139562	Taeniopygia guttata	A third proteolytic cleavage releases NICD
6195694	Xenopus tropicalis	A third proteolytic cleavage releases NICD
6272885	Danio rerio	A third proteolytic cleavage releases NICD
6322945	Drosophila melanogaster	A third proteolytic cleavage releases NICD
2161541	Homo sapiens	Abacavir metabolism
5695584	Dictyostelium discoideum	Abacavir metabolism
5709607	Schizosaccharomyces pombe	Abacavir metabolism
5720007	Saccharomyces cerevisiae	Abacavir metabolism
5752385	Caenorhabditis elegans	Abacavir metabolism
5812767	Sus scrofa	Abacavir metabolism
5870657	Bos taurus	Abacavir metabolism
5932363	Canis familiaris	Abacavir metabolism
5992259	Mus musculus	Abacavir metabolism
6052768	Rattus norvegicus	Abacavir metabolism
6097069	Gallus gallus	Abacavir metabolism
6140303	Taeniopygia guttata	Abacavir metabolism
6196455	Xenopus tropicalis	Abacavir metabolism
6273656	Danio rerio	Abacavir metabolism
6323556	Drosophila melanogaster	Abacavir metabolism
6351176	Arabidopsis thaliana	Abacavir metabolism
6379144	Oryza sativa	Abacavir metabolism
2161517	Homo sapiens	Abacavir transmembrane transport
5695586	Dictyostelium discoideum	Abacavir transmembrane transport
5720009	Saccharomyces cerevisiae	Abacavir transmembrane transport
5752387	Caenorhabditis elegans	Abacavir transmembrane transport
5812770	Sus scrofa	Abacavir transmembrane transport
5870659	Bos taurus	Abacavir transmembrane transport
5932365	Canis familiaris	Abacavir transmembrane transport
5992261	Mus musculus	Abacavir transmembrane transport
6052770	Rattus norvegicus	Abacavir transmembrane transport
6097071	Gallus gallus	Abacavir transmembrane transport
6140305	Taeniopygia guttata	Abacavir transmembrane transport
6196458	Xenopus tropicalis	Abacavir transmembrane transport
6273659	Danio rerio	Abacavir transmembrane transport
6323558	Drosophila melanogaster	Abacavir transmembrane transport
6351178	Arabidopsis thaliana	Abacavir transmembrane transport
6379146	Oryza sativa	Abacavir transmembrane transport
2161522	Homo sapiens	Abacavir transport and metabolism
5695585	Dictyostelium discoideum	Abacavir transport and metabolism
5709608	Schizosaccharomyces pombe	Abacavir transport and metabolism
5720008	Saccharomyces cerevisiae	Abacavir transport and metabolism
5752386	Caenorhabditis elegans	Abacavir transport and metabolism
5812768	Sus scrofa	Abacavir transport and metabolism
5870658	Bos taurus	Abacavir transport and metabolism
5932364	Canis familiaris	Abacavir transport and metabolism
5992260	Mus musculus	Abacavir transport and metabolism
6052769	Rattus norvegicus	Abacavir transport and metabolism
6097070	Gallus gallus	Abacavir transport and metabolism
6140304	Taeniopygia guttata	Abacavir transport and metabolism
6196456	Xenopus tropicalis	Abacavir transport and metabolism
6273657	Danio rerio	Abacavir transport and metabolism
6323557	Drosophila melanogaster	Abacavir transport and metabolism
6351177	Arabidopsis thaliana	Abacavir transport and metabolism
6379145	Oryza sativa	Abacavir transport and metabolism
73930	Homo sapiens	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
5695144	Dictyostelium discoideum	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
5811895	Sus scrofa	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
5869769	Bos taurus	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
5931477	Canis familiaris	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
5991362	Mus musculus	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
6051877	Rattus norvegicus	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
6139469	Taeniopygia guttata	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
6195594	Xenopus tropicalis	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
6272794	Danio rerio	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
382556	Homo sapiens	ABC-family proteins mediated transport
5695405	Dictyostelium discoideum	ABC-family proteins mediated transport
5699461	Plasmodium falciparum	ABC-family proteins mediated transport
5709451	Schizosaccharomyces pombe	ABC-family proteins mediated transport
5719847	Saccharomyces cerevisiae	ABC-family proteins mediated transport
5752050	Caenorhabditis elegans	ABC-family proteins mediated transport
5812328	Sus scrofa	ABC-family proteins mediated transport
5870215	Bos taurus	ABC-family proteins mediated transport
5931922	Canis familiaris	ABC-family proteins mediated transport
5991811	Mus musculus	ABC-family proteins mediated transport
6052324	Rattus norvegicus	ABC-family proteins mediated transport
6096635	Gallus gallus	ABC-family proteins mediated transport
6139874	Taeniopygia guttata	ABC-family proteins mediated transport
6196028	Xenopus tropicalis	ABC-family proteins mediated transport
6273217	Danio rerio	ABC-family proteins mediated transport
6323215	Drosophila melanogaster	ABC-family proteins mediated transport
6350991	Arabidopsis thaliana	ABC-family proteins mediated transport
6378943	Oryza sativa	ABC-family proteins mediated transport
1369062	Homo sapiens	ABCA transporters in lipid homeostasis
5695406	Dictyostelium discoideum	ABCA transporters in lipid homeostasis
5719848	Saccharomyces cerevisiae	ABCA transporters in lipid homeostasis
5752049	Caenorhabditis elegans	ABCA transporters in lipid homeostasis
5812327	Sus scrofa	ABCA transporters in lipid homeostasis
5870214	Bos taurus	ABCA transporters in lipid homeostasis
5931921	Canis familiaris	ABCA transporters in lipid homeostasis
5991810	Mus musculus	ABCA transporters in lipid homeostasis
6052323	Rattus norvegicus	ABCA transporters in lipid homeostasis
6096634	Gallus gallus	ABCA transporters in lipid homeostasis
6139873	Taeniopygia guttata	ABCA transporters in lipid homeostasis
6196027	Xenopus tropicalis	ABCA transporters in lipid homeostasis
6273216	Danio rerio	ABCA transporters in lipid homeostasis
6323214	Drosophila melanogaster	ABCA transporters in lipid homeostasis
6350992	Arabidopsis thaliana	ABCA transporters in lipid homeostasis
6378942	Oryza sativa	ABCA transporters in lipid homeostasis
2978092	Homo sapiens	Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate
167242	Homo sapiens	Abortive elongation of HIV-1 transcript in the absence of Tat
156582	Homo sapiens	Acetylation
5812000	Sus scrofa	Acetylation
5869879	Bos taurus	Acetylation
5991476	Mus musculus	Acetylation
6051988	Rattus norvegicus	Acetylation
6096327	Gallus gallus	Acetylation
6139573	Taeniopygia guttata	Acetylation
6272897	Danio rerio	Acetylation
181431	Homo sapiens	Acetylcholine Binding And Downstream Events
5752232	Caenorhabditis elegans	Acetylcholine Binding And Downstream Events
5812572	Sus scrofa	Acetylcholine Binding And Downstream Events
5870456	Bos taurus	Acetylcholine Binding And Downstream Events
5932163	Canis familiaris	Acetylcholine Binding And Downstream Events
5992054	Mus musculus	Acetylcholine Binding And Downstream Events
6052567	Rattus norvegicus	Acetylcholine Binding And Downstream Events
6096875	Gallus gallus	Acetylcholine Binding And Downstream Events
6140107	Taeniopygia guttata	Acetylcholine Binding And Downstream Events
6196263	Xenopus tropicalis	Acetylcholine Binding And Downstream Events
6273462	Danio rerio	Acetylcholine Binding And Downstream Events
6323401	Drosophila melanogaster	Acetylcholine Binding And Downstream Events
264642	Homo sapiens	Acetylcholine Neurotransmitter Release Cycle
5719819	Saccharomyces cerevisiae	Acetylcholine Neurotransmitter Release Cycle
5752043	Caenorhabditis elegans	Acetylcholine Neurotransmitter Release Cycle
5812320	Sus scrofa	Acetylcholine Neurotransmitter Release Cycle
5870206	Bos taurus	Acetylcholine Neurotransmitter Release Cycle
5931913	Canis familiaris	Acetylcholine Neurotransmitter Release Cycle
5991802	Mus musculus	Acetylcholine Neurotransmitter Release Cycle
6052315	Rattus norvegicus	Acetylcholine Neurotransmitter Release Cycle
6096626	Gallus gallus	Acetylcholine Neurotransmitter Release Cycle
6139863	Taeniopygia guttata	Acetylcholine Neurotransmitter Release Cycle
6196018	Xenopus tropicalis	Acetylcholine Neurotransmitter Release Cycle
6273208	Danio rerio	Acetylcholine Neurotransmitter Release Cycle
6323209	Drosophila melanogaster	Acetylcholine Neurotransmitter Release Cycle
399997	Homo sapiens	Acetylcholine regulates insulin secretion
5752129	Caenorhabditis elegans	Acetylcholine regulates insulin secretion
5812444	Sus scrofa	Acetylcholine regulates insulin secretion
5870332	Bos taurus	Acetylcholine regulates insulin secretion
5932039	Canis familiaris	Acetylcholine regulates insulin secretion
5991929	Mus musculus	Acetylcholine regulates insulin secretion
6052442	Rattus norvegicus	Acetylcholine regulates insulin secretion
6096753	Gallus gallus	Acetylcholine regulates insulin secretion
6139985	Taeniopygia guttata	Acetylcholine regulates insulin secretion
6196147	Xenopus tropicalis	Acetylcholine regulates insulin secretion
6273333	Danio rerio	Acetylcholine regulates insulin secretion
6323295	Drosophila melanogaster	Acetylcholine regulates insulin secretion
1300645	Homo sapiens	Acrosome Reaction
5752312	Caenorhabditis elegans	Acrosome Reaction
5812677	Sus scrofa	Acrosome Reaction
5870564	Bos taurus	Acrosome Reaction
5932270	Canis familiaris	Acrosome Reaction
5992163	Mus musculus	Acrosome Reaction
6052675	Rattus norvegicus	Acrosome Reaction
6096976	Gallus gallus	Acrosome Reaction
6140213	Taeniopygia guttata	Acrosome Reaction
6196359	Xenopus tropicalis	Acrosome Reaction
6323476	Drosophila melanogaster	Acrosome Reaction
2122948	Homo sapiens	Activated NOTCH1 Transmits Signal to the Nucleus
5869867	Bos taurus	Activated NOTCH1 Transmits Signal to the Nucleus
5931575	Canis familiaris	Activated NOTCH1 Transmits Signal to the Nucleus
5991464	Mus musculus	Activated NOTCH1 Transmits Signal to the Nucleus
6051975	Rattus norvegicus	Activated NOTCH1 Transmits Signal to the Nucleus
6096316	Gallus gallus	Activated NOTCH1 Transmits Signal to the Nucleus
6139563	Taeniopygia guttata	Activated NOTCH1 Transmits Signal to the Nucleus
6195695	Xenopus tropicalis	Activated NOTCH1 Transmits Signal to the Nucleus
6272886	Danio rerio	Activated NOTCH1 Transmits Signal to the Nucleus
6322946	Drosophila melanogaster	Activated NOTCH1 Transmits Signal to the Nucleus
5625886	Homo sapiens	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
5812888	Sus scrofa	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
5870781	Bos taurus	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
5932487	Canis familiaris	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
5992384	Mus musculus	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
6052894	Rattus norvegicus	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
6196580	Xenopus tropicalis	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
6273780	Danio rerio	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
2033519	Homo sapiens	Activated point mutants of FGFR2
437986	Gallus gallus	Activated TAK1 mediates Jun kinases (JNK) phosphorylation and  activation
437980	Gallus gallus	Activated TAK1 mediates p38 MAP kinase phosphorylation
450302	Homo sapiens	activated TAK1 mediates p38 MAPK activation
5695473	Dictyostelium discoideum	activated TAK1 mediates p38 MAPK activation
5709515	Schizosaccharomyces pombe	activated TAK1 mediates p38 MAPK activation
5719915	Saccharomyces cerevisiae	activated TAK1 mediates p38 MAPK activation
5752207	Caenorhabditis elegans	activated TAK1 mediates p38 MAPK activation
5812544	Sus scrofa	activated TAK1 mediates p38 MAPK activation
5870428	Bos taurus	activated TAK1 mediates p38 MAPK activation
5932135	Canis familiaris	activated TAK1 mediates p38 MAPK activation
5992025	Mus musculus	activated TAK1 mediates p38 MAPK activation
6052539	Rattus norvegicus	activated TAK1 mediates p38 MAPK activation
6096847	Gallus gallus	activated TAK1 mediates p38 MAPK activation
6140078	Taeniopygia guttata	activated TAK1 mediates p38 MAPK activation
6196236	Xenopus tropicalis	activated TAK1 mediates p38 MAPK activation
6273431	Danio rerio	activated TAK1 mediates p38 MAPK activation
6323379	Drosophila melanogaster	activated TAK1 mediates p38 MAPK activation
6351062	Arabidopsis thaliana	activated TAK1 mediates p38 MAPK activation
6379031	Oryza sativa	activated TAK1 mediates p38 MAPK activation
166054	Homo sapiens	Activated TLR4 signalling
5695108	Dictyostelium discoideum	Activated TLR4 signalling
5709230	Schizosaccharomyces pombe	Activated TLR4 signalling
5719617	Saccharomyces cerevisiae	Activated TLR4 signalling
5751747	Caenorhabditis elegans	Activated TLR4 signalling
5811856	Sus scrofa	Activated TLR4 signalling
5869730	Bos taurus	Activated TLR4 signalling
5931438	Canis familiaris	Activated TLR4 signalling
5991323	Mus musculus	Activated TLR4 signalling
6051838	Rattus norvegicus	Activated TLR4 signalling
6096187	Gallus gallus	Activated TLR4 signalling
6139429	Taeniopygia guttata	Activated TLR4 signalling
6195557	Xenopus tropicalis	Activated TLR4 signalling
6272755	Danio rerio	Activated TLR4 signalling
6322840	Drosophila melanogaster	Activated TLR4 signalling
6350745	Arabidopsis thaliana	Activated TLR4 signalling
6378712	Oryza sativa	Activated TLR4 signalling
111452	Homo sapiens	Activation and oligomerization of BAK protein
5811931	Sus scrofa	Activation and oligomerization of BAK protein
5869807	Bos taurus	Activation and oligomerization of BAK protein
5931514	Canis familiaris	Activation and oligomerization of BAK protein
5991400	Mus musculus	Activation and oligomerization of BAK protein
6051915	Rattus norvegicus	Activation and oligomerization of BAK protein
6139507	Taeniopygia guttata	Activation and oligomerization of BAK protein
399710	Homo sapiens	Activation of AMPA receptors
5752123	Caenorhabditis elegans	Activation of AMPA receptors
5812438	Sus scrofa	Activation of AMPA receptors
5870326	Bos taurus	Activation of AMPA receptors
5932033	Canis familiaris	Activation of AMPA receptors
5991923	Mus musculus	Activation of AMPA receptors
6052436	Rattus norvegicus	Activation of AMPA receptors
6096748	Gallus gallus	Activation of AMPA receptors
6139980	Taeniopygia guttata	Activation of AMPA receptors
6196141	Xenopus tropicalis	Activation of AMPA receptors
6273327	Danio rerio	Activation of AMPA receptors
6323289	Drosophila melanogaster	Activation of AMPA receptors
176814	Homo sapiens	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
5695266	Dictyostelium discoideum	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
5812120	Sus scrofa	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
5869999	Bos taurus	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
5931702	Canis familiaris	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
5991595	Mus musculus	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
6052108	Rattus norvegicus	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
6096421	Gallus gallus	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
6139659	Taeniopygia guttata	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
6195818	Xenopus tropicalis	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
6273011	Danio rerio	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
6323034	Drosophila melanogaster	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
6350859	Arabidopsis thaliana	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
6378829	Oryza sativa	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
176187	Homo sapiens	Activation of ATR in response to replication stress
5695286	Dictyostelium discoideum	Activation of ATR in response to replication stress
5709037	Schizosaccharomyces pombe	Activation of ATR in response to replication stress
5719424	Saccharomyces cerevisiae	Activation of ATR in response to replication stress
5751484	Caenorhabditis elegans	Activation of ATR in response to replication stress
5811561	Sus scrofa	Activation of ATR in response to replication stress
5869427	Bos taurus	Activation of ATR in response to replication stress
5931139	Canis familiaris	Activation of ATR in response to replication stress
5991016	Mus musculus	Activation of ATR in response to replication stress
6051534	Rattus norvegicus	Activation of ATR in response to replication stress
6095899	Gallus gallus	Activation of ATR in response to replication stress
6139139	Taeniopygia guttata	Activation of ATR in response to replication stress
6195255	Xenopus tropicalis	Activation of ATR in response to replication stress
6272456	Danio rerio	Activation of ATR in response to replication stress
6322570	Drosophila melanogaster	Activation of ATR in response to replication stress
111447	Homo sapiens	Activation of BAD and translocation to mitochondria 
5811952	Sus scrofa	Activation of BAD and translocation to mitochondria 
5869830	Bos taurus	Activation of BAD and translocation to mitochondria 
5931537	Canis familiaris	Activation of BAD and translocation to mitochondria 
5991426	Mus musculus	Activation of BAD and translocation to mitochondria 
6051938	Rattus norvegicus	Activation of BAD and translocation to mitochondria 
6195658	Xenopus tropicalis	Activation of BAD and translocation to mitochondria 
6272854	Danio rerio	Activation of BAD and translocation to mitochondria 
114452	Homo sapiens	Activation of BH3-only proteins
5811953	Sus scrofa	Activation of BH3-only proteins
5869831	Bos taurus	Activation of BH3-only proteins
5931538	Canis familiaris	Activation of BH3-only proteins
5991427	Mus musculus	Activation of BH3-only proteins
6051939	Rattus norvegicus	Activation of BH3-only proteins
6096284	Gallus gallus	Activation of BH3-only proteins
6139530	Taeniopygia guttata	Activation of BH3-only proteins
6195659	Xenopus tropicalis	Activation of BH3-only proteins
6272855	Danio rerio	Activation of BH3-only proteins
111446	Homo sapiens	Activation of BIM and translocation to mitochondria 
5811954	Sus scrofa	Activation of BIM and translocation to mitochondria 
5869833	Bos taurus	Activation of BIM and translocation to mitochondria 
5931540	Canis familiaris	Activation of BIM and translocation to mitochondria 
5991429	Mus musculus	Activation of BIM and translocation to mitochondria 
6051941	Rattus norvegicus	Activation of BIM and translocation to mitochondria 
6195661	Xenopus tropicalis	Activation of BIM and translocation to mitochondria 
139910	Homo sapiens	Activation of BMF and translocation to mitochondria
5869832	Bos taurus	Activation of BMF and translocation to mitochondria
5931539	Canis familiaris	Activation of BMF and translocation to mitochondria
5991428	Mus musculus	Activation of BMF and translocation to mitochondria
6051940	Rattus norvegicus	Activation of BMF and translocation to mitochondria
6096283	Gallus gallus	Activation of BMF and translocation to mitochondria
6139529	Taeniopygia guttata	Activation of BMF and translocation to mitochondria
6195660	Xenopus tropicalis	Activation of BMF and translocation to mitochondria
174577	Homo sapiens	Activation of C3 and C5
5812064	Sus scrofa	Activation of C3 and C5
5869944	Bos taurus	Activation of C3 and C5
5931647	Canis familiaris	Activation of C3 and C5
5991539	Mus musculus	Activation of C3 and C5
6052053	Rattus norvegicus	Activation of C3 and C5
6096383	Gallus gallus	Activation of C3 and C5
6272958	Danio rerio	Activation of C3 and C5
451308	Homo sapiens	Activation of Ca-permeable Kainate Receptor
5695480	Dictyostelium discoideum	Activation of Ca-permeable Kainate Receptor
5752215	Caenorhabditis elegans	Activation of Ca-permeable Kainate Receptor
5812552	Sus scrofa	Activation of Ca-permeable Kainate Receptor
5870436	Bos taurus	Activation of Ca-permeable Kainate Receptor
5932143	Canis familiaris	Activation of Ca-permeable Kainate Receptor
5992033	Mus musculus	Activation of Ca-permeable Kainate Receptor
6052547	Rattus norvegicus	Activation of Ca-permeable Kainate Receptor
6096852	Gallus gallus	Activation of Ca-permeable Kainate Receptor
6140084	Taeniopygia guttata	Activation of Ca-permeable Kainate Receptor
6196244	Xenopus tropicalis	Activation of Ca-permeable Kainate Receptor
6273439	Danio rerio	Activation of Ca-permeable Kainate Receptor
442745	Homo sapiens	Activation of CaMK IV
5695149	Dictyostelium discoideum	Activation of CaMK IV
5811903	Sus scrofa	Activation of CaMK IV
5869778	Bos taurus	Activation of CaMK IV
5931486	Canis familiaris	Activation of CaMK IV
5991371	Mus musculus	Activation of CaMK IV
6051886	Rattus norvegicus	Activation of CaMK IV
6096232	Gallus gallus	Activation of CaMK IV
6139477	Taeniopygia guttata	Activation of CaMK IV
6195603	Xenopus tropicalis	Activation of CaMK IV
6272803	Danio rerio	Activation of CaMK IV
6378753	Oryza sativa	Activation of CaMK IV
111459	Homo sapiens	Activation of caspases through apoptosome-mediated cleavage
5811926	Sus scrofa	Activation of caspases through apoptosome-mediated cleavage
5869802	Bos taurus	Activation of caspases through apoptosome-mediated cleavage
5931509	Canis familiaris	Activation of caspases through apoptosome-mediated cleavage
5991395	Mus musculus	Activation of caspases through apoptosome-mediated cleavage
6051910	Rattus norvegicus	Activation of caspases through apoptosome-mediated cleavage
6096256	Gallus gallus	Activation of caspases through apoptosome-mediated cleavage
6139502	Taeniopygia guttata	Activation of caspases through apoptosome-mediated cleavage
6195628	Xenopus tropicalis	Activation of caspases through apoptosome-mediated cleavage
6272827	Danio rerio	Activation of caspases through apoptosome-mediated cleavage
6322900	Drosophila melanogaster	Activation of caspases through apoptosome-mediated cleavage
211227	Homo sapiens	Activation of DNA fragmentation factor
5695375	Dictyostelium discoideum	Activation of DNA fragmentation factor
5699452	Plasmodium falciparum	Activation of DNA fragmentation factor
5709429	Schizosaccharomyces pombe	Activation of DNA fragmentation factor
5719825	Saccharomyces cerevisiae	Activation of DNA fragmentation factor
5752051	Caenorhabditis elegans	Activation of DNA fragmentation factor
5812305	Sus scrofa	Activation of DNA fragmentation factor
5870191	Bos taurus	Activation of DNA fragmentation factor
5931899	Canis familiaris	Activation of DNA fragmentation factor
5991788	Mus musculus	Activation of DNA fragmentation factor
6052300	Rattus norvegicus	Activation of DNA fragmentation factor
6096611	Gallus gallus	Activation of DNA fragmentation factor
6139849	Taeniopygia guttata	Activation of DNA fragmentation factor
6196003	Xenopus tropicalis	Activation of DNA fragmentation factor
6273193	Danio rerio	Activation of DNA fragmentation factor
6323201	Drosophila melanogaster	Activation of DNA fragmentation factor
1296041	Homo sapiens	Activation of G protein gated Potassium channels
5752283	Caenorhabditis elegans	Activation of G protein gated Potassium channels
5812638	Sus scrofa	Activation of G protein gated Potassium channels
5870525	Bos taurus	Activation of G protein gated Potassium channels
5932231	Canis familiaris	Activation of G protein gated Potassium channels
5992124	Mus musculus	Activation of G protein gated Potassium channels
6052636	Rattus norvegicus	Activation of G protein gated Potassium channels
6096941	Gallus gallus	Activation of G protein gated Potassium channels
6140174	Taeniopygia guttata	Activation of G protein gated Potassium channels
6196326	Xenopus tropicalis	Activation of G protein gated Potassium channels
6273531	Danio rerio	Activation of G protein gated Potassium channels
6323449	Drosophila melanogaster	Activation of G protein gated Potassium channels
991365	Homo sapiens	Activation of GABAB receptors
5695256	Dictyostelium discoideum	Activation of GABAB receptors
5751882	Caenorhabditis elegans	Activation of GABAB receptors
5812095	Sus scrofa	Activation of GABAB receptors
5869973	Bos taurus	Activation of GABAB receptors
5931677	Canis familiaris	Activation of GABAB receptors
5991568	Mus musculus	Activation of GABAB receptors
6052082	Rattus norvegicus	Activation of GABAB receptors
6096404	Gallus gallus	Activation of GABAB receptors
6139641	Taeniopygia guttata	Activation of GABAB receptors
6195792	Xenopus tropicalis	Activation of GABAB receptors
6272986	Danio rerio	Activation of GABAB receptors
6323012	Drosophila melanogaster	Activation of GABAB receptors
2426168	Homo sapiens	Activation of gene expression by SREBF (SREBP)
5695558	Dictyostelium discoideum	Activation of gene expression by SREBF (SREBP)
5709590	Schizosaccharomyces pombe	Activation of gene expression by SREBF (SREBP)
5719987	Saccharomyces cerevisiae	Activation of gene expression by SREBF (SREBP)
5752353	Caenorhabditis elegans	Activation of gene expression by SREBF (SREBP)
5812728	Sus scrofa	Activation of gene expression by SREBF (SREBP)
5870618	Bos taurus	Activation of gene expression by SREBF (SREBP)
5932324	Canis familiaris	Activation of gene expression by SREBF (SREBP)
5992218	Mus musculus	Activation of gene expression by SREBF (SREBP)
6052729	Rattus norvegicus	Activation of gene expression by SREBF (SREBP)
6097031	Gallus gallus	Activation of gene expression by SREBF (SREBP)
6140266	Taeniopygia guttata	Activation of gene expression by SREBF (SREBP)
6196411	Xenopus tropicalis	Activation of gene expression by SREBF (SREBP)
6273613	Danio rerio	Activation of gene expression by SREBF (SREBP)
6323519	Drosophila melanogaster	Activation of gene expression by SREBF (SREBP)
6351152	Arabidopsis thaliana	Activation of gene expression by SREBF (SREBP)
6379120	Oryza sativa	Activation of gene expression by SREBF (SREBP)
936964	Homo sapiens	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon
5812057	Sus scrofa	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon
5869937	Bos taurus	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon
5931640	Canis familiaris	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon
